Product Code,Name,Sales Price,Cost,Product Categ 1,Product Categ 2,Product Categ 3,Product Categ 4,Barcode,Supplier
1000001,Inglot,1000,820,categ_1,dept_1,line_1,div_1,9536084029700,s_001
1000002,M.A.C.,530,434.6,categ_2,dept_2,line_2,div_2,9558120013450,s_002
1000003,Kat Von D,1600,1312,categ_3,dept_3,line_3,div_3,9574851691804,s_003
1000004,Schwarzkopf,1500,1230,categ_4,dept_4,line_4,div_4,9935381829729,s_004
1000005,M.A.C.,680,557.6,categ_1,dept_1,line_1,div_1,9456386171700,s_005
1000006,Clean & Clear,1000,820,categ_2,dept_2,line_2,div_2,9628253643057,s_006
1000007,Matrix,8000,6560,categ_3,dept_3,line_3,div_3,9179964319040,s_007
1000008,Yves Saint Laurent,1980,1623.6,categ_4,dept_4,line_4,div_4,9089950684233,s_008
1000009,Vichy,4600,3772,categ_1,dept_1,line_1,div_1,9907459062530,s_009
1000010,Clearasil,4000,3280,categ_2,dept_2,line_2,div_2,9646448908413,s_010
1000011,Estée Lauder,500,410,categ_3,dept_3,line_3,div_3,9624943051555,s_011
1000012,Triumph & Disaster,550,451,categ_4,dept_4,line_4,div_4,9575181922338,s_012
1000013,Clearasil,500,410,categ_1,dept_1,line_1,div_1,9821228433944,s_013
1000014,Irish Spring,700,574,categ_2,dept_2,line_2,div_2,9286025681395,s_014
1000015,Chanel,600,492,categ_3,dept_3,line_3,div_3,9481942394211,s_015
1000016,Shiseido,550,451,categ_4,dept_4,line_4,div_4,9874730847804,s_016
1000017,L:A Bruket,580,475.6,categ_1,dept_1,line_1,div_1,9875431799676,s_017
1000018,Oriflame,1400,1148,categ_2,dept_2,line_2,div_2,9869244338485,s_018
1000019,Head & Shoulders,550,451,categ_3,dept_3,line_3,div_3,9107052830956,s_019
1000020,Matrix,650,533,categ_4,dept_4,line_4,div_4,9190827037752,s_020
1000021,Inglot,550,451,categ_1,dept_1,line_1,div_1,9324243430389,s_021
1000022,Eucerin,500,410,categ_2,dept_2,line_2,div_2,9420345023366,s_022
1000023,Clearasil,1400,1148,categ_3,dept_3,line_3,div_3,9927329944868,s_023
1000024,Dove,550,451,categ_4,dept_4,line_4,div_4,9814530794468,s_024
1000025,La Roche-Posay,1400,1148,categ_1,dept_1,line_1,div_1,9669541264965,s_025
1000026,Vichy,500,410,categ_2,dept_2,line_2,div_2,9029451303428,s_026
1000027,KOSÉ,5100,4182,categ_3,dept_3,line_3,div_3,9181578981390,s_027
1000028,Kat Von D,350,287,categ_4,dept_4,line_4,div_4,9754074116196,s_028
1000029,Bioré,5200,4264,categ_1,dept_1,line_1,div_1,9126825873672,s_029
1000030,Oriflame,350,287,categ_2,dept_2,line_2,div_2,9964014306390,s_030
1000031,NYX Cosmetics,700,574,categ_3,dept_3,line_3,div_3,9856502501315,s_031
1000032,Coty,1100,902,categ_4,dept_4,line_4,div_4,9005715703357,s_032
1000033,Marc Jacobs,3000,2460,categ_1,dept_1,line_1,div_1,9391559172342,s_033
1000034,Clinique,800,656,categ_2,dept_2,line_2,div_2,9399043689105,s_034
1000035,LOccitane,3950,3239,categ_3,dept_3,line_3,div_3,9689701383758,s_035
1000036,L:A Bruket,6000,4920,categ_4,dept_4,line_4,div_4,9989235626493,s_036
1000037,Biotherm,600,492,categ_1,dept_1,line_1,div_1,9169698651394,s_037
1000038,Vichy,250,205,categ_2,dept_2,line_2,div_2,9728192064316,s_038
1000039,Eucerin,350,287,categ_3,dept_3,line_3,div_3,9147152928951,s_039
1000040,Aveda Men,250,205,categ_4,dept_4,line_4,div_4,9964139857733,s_040
1000041,M.A.C.,700,574,categ_1,dept_1,line_1,div_1,9300460311633,s_041
1000042,Vichy,2150,1763,categ_2,dept_2,line_2,div_2,9164829852476,s_042
1000043,Kat Von D,2150,1763,categ_3,dept_3,line_3,div_3,9225171553566,s_043
1000044,Shiseido,500,410,categ_4,dept_4,line_4,div_4,9692840784605,s_044
1000045,Dove,2500,2050,categ_1,dept_1,line_1,div_1,9069852078452,s_045
