business_day,Product Code,Product Name,Store Code,qty_1,qty_2,qty_3,qty_4,qty_5,qty_6,qty_7,qty_8,qty_9,qty_10,qty_11,qty_12,qty_13,qty_14,qty_15,qty_16,qty_17,qty_18,qty_19,qty_20,qty_21,qty_22,qty_23,qty_24
20210920,1000001,Inglot,1010,29,17,6,33,17,23,8,22,24,2,9,14,36,30,25,36,37,1,16,28,33,37,39,15
20210920,1000002,M.A.C.,1002,23,0,38,16,33,3,0,31,7,29,37,0,36,39,21,3,22,24,13,7,30,33,23,10
20210920,1000003,Kat Von D,1003,25,21,30,15,19,12,4,14,39,18,35,39,1,9,2,26,20,4,17,11,39,22,6,13
20210920,1000004,Schwarzkopf,1004,15,2,9,38,14,8,33,4,36,8,32,33,4,17,29,10,5,14,18,20,15,30,28,37
20210920,1000005,M.A.C.,1005,15,0,1,21,25,18,40,23,16,11,10,39,22,34,27,10,26,5,35,30,23,30,36,28
20210920,1000006,Clean & Clear,1006,6,8,24,8,20,13,17,1,24,18,15,25,24,10,35,37,7,37,35,13,36,16,7,28
20210920,1000007,Matrix,1007,36,34,27,38,15,33,1,33,20,28,19,9,11,3,29,18,33,22,30,39,8,40,22,33
20210920,1000008,Yves Saint Laurent,1008,40,18,9,17,31,3,23,18,0,34,19,29,29,19,34,4,6,26,8,3,0,39,14,38
20210920,1000009,Vichy,1009,29,7,26,3,18,37,7,6,4,29,9,6,23,5,32,25,38,8,33,26,9,27,25,38
20210920,1000010,Clearasil,1010,0,0,5,37,32,33,20,19,37,9,21,11,7,6,18,22,0,8,29,36,35,7,1,33
20210920,1000011,Estée Lauder,1002,15,37,21,25,11,38,23,14,32,22,34,33,35,28,22,0,5,23,25,29,1,4,10,26
20210920,1000012,Triumph & Disaster,1003,0,19,30,26,6,33,33,18,27,14,34,0,39,2,0,19,0,17,38,9,3,39,24,17
20210920,1000013,Clearasil,1004,5,27,33,25,14,31,39,28,36,0,40,21,11,8,4,11,20,38,23,12,12,23,0,33
20210920,1000014,Irish Spring,1005,39,17,24,18,39,6,15,1,7,24,3,18,9,40,5,10,38,19,19,2,33,2,38,36
20210920,1000015,Chanel,1006,33,2,40,14,26,30,2,6,1,1,38,2,2,32,15,1,2,26,11,33,0,24,2,0
20210920,1000016,Shiseido,1007,32,16,25,21,31,18,34,6,8,5,2,14,39,30,1,7,12,21,9,27,2,36,40,25
20210920,1000017,L:A Bruket,1008,28,8,19,7,4,37,6,13,22,1,35,31,20,25,12,10,28,40,8,32,19,13,5,29
20210920,1000018,Oriflame,1009,8,37,25,31,22,34,31,21,7,25,36,40,8,25,30,2,5,1,25,18,26,0,2,30
20210920,1000019,Head & Shoulders,1010,34,26,5,16,37,16,1,18,30,18,32,4,0,14,11,40,1,25,40,7,36,20,39,2
20210920,1000020,Matrix,1002,29,40,21,22,7,23,13,0,40,30,13,1,2,17,3,13,8,33,33,22,37,0,24,15
20210920,1000021,Inglot,1003,39,13,19,37,8,19,24,11,35,30,37,9,39,4,17,1,9,0,25,10,25,22,17,22
20210920,1000022,Eucerin,1004,22,40,18,26,15,32,19,34,0,22,25,29,0,7,1,0,36,34,31,13,23,27,11,8
20210920,1000023,Clearasil,1005,40,31,2,8,24,3,24,14,24,12,37,37,30,17,21,5,36,33,13,15,1,35,11,7
20210920,1000024,Dove,1006,34,0,8,20,16,31,13,36,32,7,6,27,31,28,2,19,40,20,29,3,0,17,38,6
20210920,1000025,La Roche-Posay,1007,17,24,17,18,23,29,40,33,19,12,33,35,38,24,11,3,17,13,2,23,13,6,15,17
20210920,1000026,Vichy,1008,26,33,17,36,16,5,9,28,3,15,32,10,13,40,3,17,40,34,18,24,34,12,30,22
20210920,1000027,KOSÉ,1009,23,30,16,31,35,7,20,28,36,39,8,16,10,4,20,19,39,27,27,12,35,23,12,38
20210920,1000028,Kat Von D,1010,3,22,34,7,21,29,10,3,40,33,24,33,23,14,25,26,14,34,17,9,37,35,36,30
20210920,1000029,Bioré,1002,26,12,20,33,4,29,36,14,30,11,12,39,14,9,29,29,11,15,38,29,17,25,10,11
20210920,1000030,Oriflame,1003,23,24,39,10,32,34,6,29,20,16,2,24,8,28,3,0,35,33,0,7,1,33,35,34
20210920,1000031,NYX Cosmetics,1004,25,12,40,17,16,30,35,30,32,32,36,15,29,34,35,38,0,31,15,40,34,26,0,39
20210920,1000032,Coty,1005,22,11,35,15,32,23,6,4,11,31,26,24,20,25,6,38,0,7,2,27,9,30,40,28
20210920,1000033,Marc Jacobs,1006,14,28,35,2,21,5,34,32,15,38,32,28,33,17,16,29,35,30,27,6,18,17,13,4
20210920,1000034,Clinique,1007,35,10,36,6,15,40,25,26,7,17,5,37,5,17,37,26,13,5,35,31,20,4,21,16
20210920,1000035,LOccitane,1008,8,8,22,23,17,4,14,24,9,25,7,3,16,25,33,39,13,29,19,29,10,34,24,36
20210920,1000036,L:A Bruket,1009,16,16,15,2,6,16,28,28,2,33,19,0,34,26,23,19,0,19,31,26,31,15,24,39
20210920,1000037,Biotherm,1010,0,17,39,30,13,33,19,19,33,39,10,25,17,39,31,35,37,27,28,31,21,2,17,32
20210920,1000038,Vichy,1002,15,17,23,6,15,38,1,13,26,18,40,16,32,16,17,1,23,22,8,5,24,4,5,16
20210920,1000039,Eucerin,1003,37,1,38,30,27,7,40,36,7,39,39,19,19,27,13,38,35,7,25,8,7,34,5,30
20210920,1000040,Aveda Men,1004,9,28,37,39,35,39,16,3,24,15,14,4,20,16,19,0,26,30,20,0,5,39,20,0
20210920,1000041,M.A.C.,1005,22,26,9,19,36,13,38,40,0,20,14,31,1,2,37,15,21,31,12,37,15,29,39,14
20210920,1000042,Vichy,1006,8,39,14,23,20,1,7,22,37,10,7,7,36,6,38,15,38,1,32,11,8,0,15,25
20210920,1000043,Kat Von D,1007,30,26,8,32,38,12,15,26,31,16,39,14,39,31,1,22,17,5,5,30,4,38,8,22
20210920,1000044,Shiseido,1008,12,18,13,28,28,21,35,12,40,27,3,4,3,21,32,1,0,31,8,3,8,31,12,17
20210920,1000045,Dove,1009,14,25,16,32,32,20,16,9,32,39,3,36,8,23,27,10,26,21,30,40,3,32,22,19
